category,respondent-id,code
information to be provided/detailed information,s1_r14,1
information to be provided/detailed information,s1_r15,1
information to be provided/detailed information,s1_r17,1
information to be provided/detailed information,s1_r19,1
information to be provided/detailed information,s1_r21,1
information to be provided/detailed information,s1_r23,1
information to be provided/detailed information,s1_r25,1
information to be provided/detailed information,s1_r4,1
information to be provided/detailed information,s2_r12,2
information to be provided/detailed information,s2_r13,3
information to be provided/detailed information,s2_r14,1
information to be provided/detailed information,s2_r15,1
information to be provided/detailed information,s2_r16,2
information to be provided/detailed information,s2_r19,1
information to be provided/detailed information,s2_r2,1
information to be provided/detailed information,s2_r21,2
information to be provided/detailed information,s2_r4,1
information to be provided/detailed information,s2_r6,1
information to be provided/detailed information,s2_r8,2
information to be provided/detailed information,s2_r9,4
information to be provided/detailed information,s4_r10,1
information to be provided/detailed information,s4_r7,1
information to be provided/detailed information,s5_r13,1
information to be provided/detailed information,s5_r14,1
information to be provided/detailed information,s5_r2,1
information to be provided/detailed information,s5_r21,1
information to be provided/grouped information,s2_r11,1
information to be provided/grouped information,s2_r12,1
information to be provided/grouped information,s2_r14,1
information to be provided/grouped information,s2_r15,1
information to be provided/grouped information,s2_r3,1
information to be provided/grouped information,s2_r9,1
information to be provided/grouped information,s3_r10,1
information to be provided/grouped information,s4_r10,2
information to be provided/grouped information,s4_r12,1
information to be provided/grouped information,s4_r13,1
information to be provided/grouped information,s4_r5,1
information to be provided/grouped information,s4_r6,1
information to be provided/grouped information,s5_r15,1
information to be provided/grouped information,s5_r16,1
tool usage/customization,s1_r2,1
tool usage/customization,s1_r21,1
tool usage/customization,s1_r22,1
tool usage/customization,s1_r4,1
tool usage/customization,s2_r20,1
tool usage/customization,s2_r4,1
tool usage/customization,s5_r12,1
tool usage/customization,s5_r20,1
tool usage/tool execution/manual execution,s3_r14,1
tool usage/tool execution/manual execution,s3_r19,1
tool usage/tool execution/manual execution,s3_r3,1
tool usage/tool execution/manual execution,s3_r8,1
tool usage/tool execution/manual execution,s3_r9,1
tool usage/tool execution/threshold execution,s1_r11,1
tool usage/tool execution/threshold execution,s1_r13,1
tool usage/tool execution/threshold execution,s1_r15,1
tool usage/tool execution/threshold execution,s1_r18,1
tool usage/tool execution/threshold execution,s1_r2,1
tool usage/tool execution/threshold execution,s1_r21,1
tool usage/tool execution/threshold execution,s1_r22,3
tool usage/tool execution/threshold execution,s1_r4,3
tool usage/tool execution/threshold execution,s1_r5,1
tool usage/tool execution/threshold execution,s1_r8,1
tool usage/tool execution/threshold execution,s4_r10,1
tool usage/tool execution/threshold execution,s4_r11,1
tool usage/tool execution/threshold execution,s4_r2,1
tool usage/tool execution/workflow execution,s3_r11,1
tool usage/tool execution/workflow execution,s3_r13,1
tool usage/tool execution/workflow execution,s3_r18,1
tool usage/tool execution/workflow execution,s3_r20,1
tool usage/tool execution/workflow execution,s4_r5,1
tool usage/tool execution/workflow execution,s4_r6,1
tool usage/tool execution/workflow execution,s5_r12,1
tool usage/tool execution/workflow execution,s5_r13,1
tool usage/tool execution/workflow execution,s5_r15,1
tool usage/tool execution/workflow execution,s5_r18,1
tool usage/tool execution/workflow execution,s5_r3,1
tool usage/tool interface,s1_r14,2
tool usage/tool interface,s1_r17,1
tool usage/tool interface,s2_r11,1
tool usage/tool interface,s2_r12,1
tool usage/tool interface,s2_r15,1
tool usage/tool interface,s2_r16,1
tool usage/tool interface,s2_r17,1
tool usage/tool interface,s2_r19,1
tool usage/tool interface,s2_r20,1
tool usage/tool interface,s2_r4,1
tool usage/tool interface,s3_r18,1
tool usage/tool interface,s4_r1,1
tool usage/tool interface,s4_r10,2
tool usage/tool interface,s4_r12,1
tool usage/tool interface,s4_r2,1
tool usage/tool interface,s4_r3,1
tool usage/tool interface,s4_r4,1
tool usage/tool interface,s4_r5,1
tool usage/tool interface,s4_r6,1
