scenario,category,complete-requirement,code,respondent-id,respondent-role,respondent-experience,respondent-education
s1,information to be provided,The issue labeling bot may notify practitioners about issues containing techincal debt.,1-notifications are useful,s1_r14,Project Manager,more than 10 years,Master
s1,information to be provided,The issue labeling bot may notify practitioners about issues containing techincal debt.,1-notifications are useful,s1_r23,Software Developer,1 - 5 years,Bachelor
s1,information to be provided,The issue labeling bot may notify practitioners about issues containing techincal debt.,1-notifications are useful,s4_r7,System Architect,more than 10 years,Bachelor
s1,information to be provided,The issue labeling bot may notify practitioners about issues containing techincal debt.,1-notifications are useful,s1_r17,Software Architect/Designer,1 - 5 years,PhD
s1,information to be provided,The issue labeling bot may notify practitioners about issues containing techincal debt.,1-notifications are useful,s1_r19,Software Architect/Designer,more than 10 years,PhD
s1,information to be provided,The issue labeling bot may notify practitioners about issues containing techincal debt.,1-notifications are useful,s1_r4,Software Developer,1 - 5 years,Bachelor
s1,information to be provided,The issue labeling bot may notify practitioners about issues containing techincal debt.,1-notifications are useful,s1_r15,Software Architect/Designer,1 - 5 years,Master
s1,information to be provided,The issue labeling bot may notify practitioners about issues containing techincal debt.,1-notifications are useful,s1_r21,Software Developer,1 - 5 years,Bachelor
s1,information to be provided,The issue labeling bot may notify practitioners about issues containing techincal debt.,1-notifications are useful,s1_r25,Software Developer,6 - 10 years,Bachelor
s1,trigger/threshold,The issue labeling bot may provide a customization option to configure notifications considering the feature under development.,1-notifications useufulness depends on the feature under development,s1_r11,Software Developer,more than 10 years,Master
s1,trigger/threshold,The issue labeling bot may provide a customization option to configure notifications considering the feature under development.,1-notifications useufulness depends on the feature under development,s1_r4,Software Developer,1 - 5 years,Bachelor
s1,trigger/threshold,The issue labeling bot may provide a customization option to configure notifications considering the feature under development.,1-notifications useufulness depends on the feature under development,s1_r15,Software Architect/Designer,1 - 5 years,Master
s1,trigger/threshold,The issue labeling bot may provide a customization options to configure notifications when a threshold is reached.,1-notifications are useful when a project reach a threshold,s1_r18,Software Developer,more than 10 years,PhD
s1,trigger/threshold,The issue labeling bot may provide a customization options to configure notifications when a threshold is reached.,1-notifications are useful when a project reach a threshold,s1_r13,Software Developer,1 - 5 years,PhD
s1,trigger/threshold,The issue labeling bot may provide a customization option to configure notifications considering the time since an issue was open.,1-notification are useful for not lingering tickets,s1_r22,Engineering Manager,more than 10 years,Unfinished bachelor
s1,channel,The issue labeling bot may send notifications by e-mail,1-notifications can be sent by e-mail,s1_r14,Project Manager,more than 10 years,Master
s1,channel,The issue labeling bot may send notifications by instant messaging services,1-notifications can be sent using instant message services,s1_r14,Project Manager,more than 10 years,Master
s1,channel,The issue labeling bot may send notifications by instant messaging services,1-notifications can be sent using instant message services,s1_r17,Software Architect/Designer,1 - 5 years,PhD
s1,trigger/threshold,The issue labeling bot may provide a customization option to configure notifications considering the lable assigned to an issue.,1-customization options are necessary,s1_r22,Engineering Manager,more than 10 years,Unfinished bachelor
s1,trigger/threshold,The issue labeling bot may provide a customization option to configure notifications considering the lable assigned to an issue.,1-customization options are necessary,s1_r4,Software Developer,1 - 5 years,Bachelor
s1,trigger/threshold,The issue labeling bot may provide a customization option to configure notifications considering the lable assigned to an issue.,1-customization options are necessary,s1_r2,Software Developer,more than 10 years,Unfinished bachelor
s1,trigger/threshold,The issue labeling bot may provide a customization option to configure notifications considering the lable assigned to an issue.,1-customization options are necessary,s1_r21,Software Developer,1 - 5 years,Bachelor
s1,information to be provided,The issue labeling bot may enable practitioners to choose whether to assign a label to an issue,1-customization options are necessary,s1_r22,Engineering Manager,more than 10 years,Unfinished bachelor
s1,information to be provided,The issue labeling bot may enable practitioners to choose whether to assign a label to an issue,1-customization options are necessary,s1_r4,Software Developer,1 - 5 years,Bachelor
s1,information to be provided,The issue labeling bot may enable practitioners to choose whether to assign a label to an issue,1-customization options are necessary,s1_r2,Software Developer,more than 10 years,Unfinished bachelor
