id,scenario,system,verb,process,object,additional-details,category,complete-requirement,code,indicator-example,relation-to-theory,related-concepts,memo
INF01,s1,issue labeling bot,may,notify,practitioners about issues containing techincal debt.,-,information to be provided/detailed information,The issue labeling bot may notify practitioners about issues containing techincal debt.,1-notifications are useful,"Yes, because at the moment of issue creation more information can be added by the other members of the team. ",related to,Sensorial Notification Load,
TU01,s1,issue labeling bot,may,provide,a customization option to configure notifications considering the feature under development.,-,tool usage/tool execution/threshold execution,The issue labeling bot may provide a customization option to configure notifications considering the feature under development.,1-notifications useufulness depends on the feature under development,That would make sense in the scenario where a developer or a company is highly focused on a particular feature. Adding a label that notifies the manager and the developer on an issue around that feature would definitely help them.,related to,Sensorial Notification Load,
TU02,s1,issue labeling bot,may,provide,a customization options to configure notifications when a threshold is reached.,-,tool usage/tool execution/threshold execution,The issue labeling bot may provide a customization options to configure notifications when a threshold is reached.,1-notifications are useful when a project reach a threshold,maybe when technical debt achieve unacceptable threshold,related to,Sensorial Notification Load,
TU03,s1,issue labeling bot,may,provide,a customization option to configure notifications considering the time since an issue was open.,-,tool usage/tool execution/threshold execution,The issue labeling bot may provide a customization option to configure notifications considering the time since an issue was open.,1-notification are useful for not lingering tickets,"The only scenario that I think might be useful is notifying about not addressed tickets,",related to,Sensorial Notification Load,
TI01,s1,issue labeling bot,may,send,notifications by e-mail,-,tool usage/tool interface,The issue labeling bot may send notifications by e-mail,1-notifications can be sent by e-mail,"yes, e-mail",related to,Sensorial Notification Load,
TI02,s1,issue labeling bot,may,send,notifications by instant messaging services,-,tool usage/tool interface,The issue labeling bot may send notifications by instant messaging services,1-notifications can be sent using instant message services,"Yes, it can be an e-mail or a message in Slack (or any other similar tool)",related to,Sensorial Notification Load,
TU04,s1,issue labeling bot,may,provide,a customization option to configure notifications considering the lable assigned to an issue.,-,tool usage/tool execution/threshold execution,The issue labeling bot may provide a customization option to configure notifications considering the lable assigned to an issue.,1-customization options are necessary,"Yes, depending on the label it would be cool, maybe just add a control so it doesn't notify for not so important labels?",related to,Sensorial Notification Load,
TU05,s1,issue labeling bot,may,enable,practitioners to choose whether to assign a label to an issue,-,tool usage/customization,The issue labeling bot may enable practitioners to choose whether to assign a label to an issue,1-customization options are necessary,"You might also want to consider that in that case, users might want the bot to wait for confirmation on the labels, so that only the desired label will be added. Or all of them?",explained by,Keep the Control,
TU06,s1,issue labeling bot,may,provide,a customization option to configure to which practitioners notifications will be sent.,-,tool usage/tool execution/threshold execution,The issue labeling bot may provide a customization option to configure to which practitioners notifications will be sent.,1-notifications should be sent to interested people only,You should only notify people that are interested.,related to,Sensorial Notification Load,
INF02,s2,dashboard,may,present,a list of smells grouped by package,-,information to be provided/detailed information,The dashboard may present a list of smells grouped by package,2-group code smells per package,"Yes, by package. Code smells in the same package are more likely to be related, so putting them together makes them easier to analyze.",explained by,Clustering Problems,
